"Protein_A","Protein_B","Abd_A","Abd_B","Colony_Size"
"MIR1","SAM50",455,"13.5",20122
"MIS1","RPB5",106,173,21771
"MKK1","GAT2","13.5",65,20903
"MLH1","ABF2","2.93",640,26600
"MLH1","YHR078W","2.93",109,23563
"MLH2","SUT1",5,255,24762
"MLH2","UBC13",5,"86.0",20674
"MLH2","RCY1",5,"6.47",21292
"MLH2","YHR078W",5,109,26768
"MLH2","LSM1",5,1066,23508
"MLH2","MGM1",5,"22.5",26045
"MLS1","SEC27",160,151,20837
"MLS1","ICL1",160,"97.3",21356
"MLS1","AAT2",160,474,27219
"MLS1","PGM2",160,289,23981
"MLS1","MLS1",160,160,35375
"MLS1","IPP1",160,1633,20047
"MLS1","RNR1",160,120,23754
"MMF1","RIM1",1008,351,22100
"MMF1","ECM4",1008,"21.9",27992
"MMS1","RPB4","1.64","69.0",21650
"MMS2","SIP5",101,"15.2",25273
"MMS2","UBC13",101,"86.0",74687
"MMS2","YNR065C",101,"4.53",24938
"MMS21","TAF2","1.05","8.01",20174
"MMS22","KRE9",2,"36.2",21130
"MMS22","PEX29",2,"19.4",20284
"MMS22","RIM1",2,351,20302
"MMS22","GAT2",2,65,20416
"MMS22","YHR078W",2,109,21956
"MMS22","ECM4",2,"21.9",27848
"MMS22","DBP5",2,156,23520
"MMT2","MSH2","7.46","13.7",20921
"MMT2","MGM1","7.46","22.5",22075
"MND2","RIX7","2.42","30.2",20337
"MND2","SSS1","2.42",184,21279
"MND2","RPN3","2.42","75.8",25398
"MND2","LSM1","2.42",1066,20032
"MND2","SAM50","2.42","13.5",28371
"MND2","ECM4","2.42","21.9",23032
"MNE1","TAF2",152,"8.01",21578
"MNE1","SAM50",152,"13.5",22681
"MNN10","ECM4","19.5","21.9",22833
"MNN11","IDI1","44.6",187,21187
"MNN11","YHR078W","44.6",109,22621
"MNN11","LSM1","44.6",1066,23458
"MNN11","MGM1","44.6","22.5",22168
"MNN2","SAM50","60.7","13.5",21028
"MNR2","URE2","8.06","27.6",20459
"MNR2","AGP1","8.06","10.6",40274
"MNS1","FUN19","9.44","4.38",22474
"MNS1","APC11","9.44","1.13",21374
"MNS1","SLD3","9.44",418,22958
"MNS1","ECM4","9.44","21.9",21646
"MOB1","TAF2","30.8","8.01",22076
"MOB1","LSM1","30.8",1066,20062
"MOB1","SAM50","30.8","13.5",21985
"MOT2","WHI3","62.0","19.0",22591
"MOT2","PAT1","62.0","44.2",58888
"MOT2","MOT2","62.0","62.0",22640
"MOT2","CDC36","62.0","20.3",32308
"MOT2","CDC39","62.0","25.2",63818
"MOT2","NST1","62.0","10.7",35690
"MOT2","DEF1","62.0",463,44871
"MOT2","CAF40","62.0","17.6",70504
"MOT2","DHH1","62.0",143,27241
"MOT2","JSN1","62.0","18.1",24114
"MOT2","LSM3","62.0",457,43295
"MOT2","NOT3","62.0","60.2",79895
"MOT2","NOT5","62.0","48.5",44103
"MOT2","POP2","62.0","13.9",54056
"MOT3","BIO4","77.5","12.1",21571
"MOT3","MTD1","77.5",145,22537
"MOT3","MOT3","77.5","77.5",25678
"MOT3","HHO1","77.5",256,24127
"MPS2","ECM4","1.81","21.9",23785
"MPS2","DBP5","1.81",156,20423
"MPS3","ECM4","4.37","21.9",21140
"MPT5","PUB1","13.4",319,67181
"MPT5","SRO9","13.4",441,49666
"MPT5","MOT2","13.4","62.0",22339
"MPT5","LSM4","13.4",545,42142
"MPT5","GIS2","13.4",399,23399
"MPT5","CDC39","13.4","25.2",38220
"MPT5","RPN3","13.4","75.8",25066
"MPT5","DEF1","13.4",463,59069
"MPT5","CAF40","13.4","17.6",45386
"MPT5","DHH1","13.4",143,55566
"MPT5","LSM3","13.4",457,20390
"MPT5","POP2","13.4","13.9",32571
"MPT5","SSD1","13.4","57.6",26029
"MPT5","RNR2","13.4",352,27235
"MRE11","ECM4","2.48","21.9",20233
"MRH4","RAD30","5.42","0.61",27806
"MRK1","PRP5",789,677,22163
"MRK1","BIO4",789,"12.1",22662
"MRK1","RPC40",789,192,22481
"MRK1","SUA5",789,"13.6",22473
"MRK1","RPB5",789,173,23427
"MRK1","MGM1",789,"22.5",25733
"MRS6","YPT52","19.9",144,51261
"MRS6","VPS21","19.9",115,47802
"MRS6","SFP1","19.9","22.6",90425
"MSB1","ERR1","6.91","80.4",22790
"MSB4","MSH2","1.84","13.7",20530
"MSC2","CPR8","2.75","2.67",21128
"MSC2","AGP1","2.75","10.6",21010
"MSC3","MSC3","40.5","40.5",39206
"MSC3","HXT3","40.5",142,22279
"MSC3","HXT7","40.5",124,21786
"MSC3","CRP1","40.5",278,29788
"MSC7","ORM2","63.9","28.2",23168
"MSC7","YHR078W","63.9",109,20295
"MSC7","TAF2","63.9","8.01",20611
"MSC7","GAP1","63.9","11.9",63418
"MSC7","VRG4","63.9","11.8",42532
"MSC7","CHO1","63.9","37.3",85658
"MSC7","GWT1","63.9","1.37",26787
"MSC7","AGP1","63.9","10.6",89379
"MSC7","OST1","63.9","52.8",101874
"MSC7","SAC1","63.9",137,28400
"MSC7","CAN1","63.9","4.97",28880
"MSC7","SPF1","63.9",108,21141
"MSD1","LSM1","6.76",1066,22382
"MSD1","MGM1","6.76","22.5",23530
"MSH2","YHR078W","13.7",109,22730
"MSH2","DBP5","13.7",156,20210
"MSH3","UBP6","2.11",126,20534
"MSH3","PRP5","2.11",677,20014
"MSH3","CDC40","2.11","5.16",20462
"MSH3","MKC7","2.11","13.1",21049
"MSH3","MSH4","2.11",105,22573
"MSH3","SET5","2.11","14.0",20165
"MSH3","UBC13","2.11","86.0",20074
"MSH3","YHR078W","2.11",109,25404
"MSH3","LSM1","2.11",1066,27095
"MSH3","MGM1","2.11","22.5",28179
"MSH5","ECM4",19,"21.9",20799
"MSL5","PDX1","15.5",149,25406
"MSL5","CDC40","15.5","5.16",23169
"MSL5","PWP2","15.5","22.5",23384
"MSL5","ACF2","15.5","7.4",23413
"MSL5","UMP1","15.5","3.28",25414
"MSL5","BET4","15.5","12.8",23418
"MSL5","ADH4","15.5","73.9",23655
"MSL5","HRK1","15.5","79.5",24013
"MSL5","CRC1","15.5","12.1",24312
"MSL5","UBC13","15.5","86.0",23429
"MSL5","RIM13","15.5",386,24063
"MSL5","YHR078W","15.5",109,24822
"MSN1","RPN3","3.73","75.8",23777
"MSN1","URE2","3.73","27.6",20746
"MSN4","BCY1","19.3",149,24785
"MSP1","MSP1","12.7","12.7",101290
"MSP1","ALO1","12.7",104,54316
"MSR1","ALG5","5.6","7.13",28171
"MSR1","NAB3","5.6","47.8",24448
"MSR1","YHR078W","5.6",109,24816
"MSR1","LSM1","5.6",1066,31214
"MSS11","MET7",285,"26.1",21533
"MSS11","TAF2",285,"8.01",22024
"MSS11","ECM4",285,"21.9",22321
"MST27","RIM1","6.16",351,20793
"MST27","DBP5","6.16",156,20807
"MST28","SET2","10.6","13.8",21811
"MST28","MSH2","10.6","13.7",21774
"MST28","ARF3","10.6","35.9",22913
"MST28","LSM1","10.6",1066,22312
"MST28","MGM1","10.6","22.5",23893
"MTD1","MTD1",145,145,88540
"MTD1","GLN1",145,430,26416
"MTF1","RTS3","8.59","4.22",33944
"MTF1","NAB3","8.59","47.8",28465
"MTF1","YHR078W","8.59",109,27885
"MTH1","SRO7","1.13","6.71",20215
"MTH1","MSH2","1.13","13.7",21980
"MTH1","MSH4","1.13",105,23167
"MTH1","MST1","1.13","11.4",23256
"MTM1","UBP6","1.86",126,21393
"MTM1","YHR078W","1.86",109,21592
"MTM1","LSM1","1.86",1066,20926
"MTM1","MGM1","1.86","22.5",20558
"MUK1","UBP6","6.44",126,20507
"MUK1","DIA4","6.44","3.32",20352
"MUK1","JNM1","6.44","2.33",20518
"MUK1","KRE9","6.44","36.2",20982
"MUK1","MKC7","6.44","13.1",22030
"MUK1","SUT1","6.44",255,21876
"MUK1","UBC13","6.44","86.0",21876
"MUK1","YHR078W","6.44",109,24950
"MUK1","LSM1","6.44",1066,24222
"MUK1","MGM1","6.44","22.5",23282
"MUM2","MUM2","8.9","8.9",36862
"MUP1","WSC2","16.2","1.68",23188
"MUP1","FUI1","16.2","5.51",21795
"MUP1","HNM1","16.2","19.7",86490
"MUP1","HXT1","16.2","46.7",71194
"MUP1","HXT2","16.2","40.3",31230
"MUP1","ITR1","16.2","42.0",43995
"MUP1","LYP1","16.2","13.2",23517
"MUP1","MEP1","16.2","1.25",30896
"MUP1","MEP3","16.2","1.34",29704
"MUP1","MID2","16.2","7.82",81014
"MUP1","MUP1","16.2","16.2",136383
"MUP1","PDR12","16.2","14.2",101589
"MUP1","SLM1","16.2","27.7",21630
"MUP1","PDR5","16.2","87.1",42582
"MUP1","MSC3","16.2","40.5",36311
"MUP1","SFK1","16.2","7.29",50721
"MUP1","GPX2","16.2",194,29619
"MUP1","QDR2","16.2","7.54",42868
"MUP1","PST2","16.2",549,37187
"MUP1","PPZ1","16.2","47.0",46600
"MUP1","TPO2","16.2","30.3",49413
"MUP1","TPO3","16.2","25.7",52285
"MUP1","TPO4","16.2","14.4",36356
"MUP1","TPO1","16.2","8.4",63158
"MUP1","TCB3","16.2","87.3",87313
"MUP1","YGL108C","16.2","15.9",28345
"MUP1","FLC2","16.2","15.8",56623
"MUP1","GPA2","16.2","23.4",44736
"MUP1","YOR1","16.2","8.37",50953
"MUP1","YBL029C-A","16.2","39.5",36446
"MUP1","MDG1","16.2","84.9",20712
"MUP1","YLR326W","16.2","12.2",52833
"MUP1","FLC1","16.2","6.34",60128
"MUP1","YGR130C","16.2",117,97798
"MUP1","RFS1","16.2",125,42527
"MUP1","FMP45","16.2","29.3",43475
"MUP1","DIP5","16.2","10.7",54882
"MUP1","GAP1","16.2","11.9",43891
"MUP1","HXT3","16.2",142,117725
"MUP1","HXT7","16.2",124,106315
"MUP1","IST2","16.2",136,77195
"MUP1","RTN1","16.2",542,28946
"MUP1","AGP1","16.2","10.6",24628
"MUP1","CRP1","16.2",278,65994
"MUP1","CAN1","16.2","4.97",55872
"MXR1","CIN8",111,"1.07",29863
"MXR1","MAF1",111,"21.1",20375
"MXR1","CPR5",111,193,20008
"MXR1","CPR8",111,"2.67",20083
"MYO2","MYO2","49.9","49.9",79064
"MYO4","MYO4","12.8","12.8",52465
"MYO4","PDE2","12.8","10.7",22220
"MYO4","RIM1","12.8",351,20884
"MYO4","SHE3","12.8","35.3",30661
"MYO4","SHE2","12.8","22.3",24158
"MYO4","ECM4","12.8","21.9",23626
"MYO4","UBA1","12.8",284,20763
"MYO5","ARC40","45.1","78.7",89628
"MYO5","VRP1","45.1","69.8",95624
"MYO5","MID2","45.1","7.82",33265
"MYO5","LAS17","45.1","19.4",41558
"MYO5","ARC15","45.1",161,56802
"MYO5","ARC19","45.1","93.9",34572
"MYO5","BZZ1","45.1","25.5",25398
"MYO5","HUG1","45.1","1.82",20198
"MYO5","YGL242C","45.1",170,62370
"MYO5","MYO5","45.1","45.1",96132
"MYO5","RNR1","45.1",120,22482
"MYO5","MBF1","45.1",1007,22269
"NAB2","NAB2","75.4","75.4",71290
"NAB2","DBP5","75.4",156,49139
"NAP1","REI1",239,"30.5",107944
"NAP1","SRO9",239,441,46968
"NAP1","NBP2",239,"29.8",57245
"NAP1","YGR054W",239,165,34662
"NAP1","NAP1",239,239,98968
"NAP1","HUG1",239,"1.82",20914
"NAP1","CKI1",239,"39.9",23251
"NAP1","RIM11",239,"35.7",47425
"NAP1","ARO8",239,343,35100
"NAP1","GLN1",239,430,21533
"NAP1","VAS1",239,324,40458
"NAP1","VMA4",239,907,37309
"NAP1","IPP1",239,1633,28581
"NAP1","CAR2",239,308,20802
"NAP1","CYS4",239,734,37013
"NAP1","RNR1",239,120,37887
"NAP1","MET13",239,"27.3",21041
"NAP1","SAH1",239,1129,23674
"NAP1","MBF1",239,1007,49994
"NAS6","RPT3","66.4",114,27389
"NAT3","ECM16","13.0","28.9",22633
"NAT4","RPB2","0.68","94.3",22632
"NCA3","GYL1","2.39","16.1",20993
"NCA3","LSM1","2.39",1066,25940
"NCA3","MGM1","2.39","22.5",21538
"NCB2","BUR6","69.4","71.9",31705
"NCP1","RPN3",159,"75.8",22072
"NCP1","ERG11",159,133,46284
"NCP1","PHO84",159,149,31366
"NCP1","RTN1",159,542,40048
"NCP1","AGP1",159,"10.6",43072
"NCP1","OST1",159,"52.8",31334
"NCP1","SAC1",159,137,20513
"NCP1","YOP1",159,186,23353
"NCR1","UBP6","6.12",126,25955
"NCR1","SRO7","6.12","6.71",28308
"NCR1","GTT1","6.12",112,21849
"NCR1","SYF2","6.12","20.9",21492
"NCR1","SPE4","6.12","10.6",24406
"NCR1","ABF2","6.12",640,24698
"NCR1","MKC7","6.12","13.1",23386
"NCR1","PMC1","6.12","14.7",30111
"NCR1","MSH2","6.12","13.7",21084
"NCR1","MSH4","6.12",105,24254
"NCR1","PWP1","6.12",103,26675
"NCR1","GGC1","6.12",188,22556
"NCR1","ALG5","6.12","7.13",27181
"NCR1","GPI15","6.12","0.27",22624
"NCR1","UBC13","6.12","86.0",23240
"NCR1","KEX1","6.12","21.9",22512
"NCR1","ARF1","6.12",797,21164
"NCR1","YML018C","6.12",881,24222
"NCR1","RCY1","6.12","6.47",24174
"NCR1","YBR241C","6.12","3.09",27830
"NCR1","YHR078W","6.12",109,23807
"NCR1","TAF2","6.12","8.01",22386
"NCR1","LSM1","6.12",1066,21826
"NCR1","MGM1","6.12","22.5",24479
"NDC1","ASM4","34.3",103,34680
"NDC1","NIC96","34.3",147,60173
"NDC1","ERV29","34.3","49.8",38979
"NDC1","NDC1","34.3","34.3",67247
"NDC1","PIS1","34.3","57.0",21802
"NDC1","ORM2","34.3","28.2",26935
"NDC1","RTN1","34.3",542,43022
"NDC1","CHO1","34.3","37.3",24725
"NDC1","AGP1","34.3","10.6",52976
"NDC1","YOP1","34.3",186,41914
"NDD1","MET7","3.39","26.1",20185
"NDI1","UBP6",114,126,30355
"NDI1","PRP5",114,677,27000
"NDI1","SRO7",114,"6.71",26820
"NDI1","ELM1",114,537,26403
"NDI1","BUD21",114,"55.3",25061
"NDI1","DBP10",114,"39.4",25236
"NDI1","SME1",114,"5.82",25482
"NDI1","ISU2",114,"28.0",27301
"NDI1","ABF2",114,640,28484
"NDI1","CDC40",114,"5.16",29545
"NDI1","NTF2",114,486,25042
"NDI1","HMI1",114,156,25868
"NDI1","SQT1",114,"50.5",24812
"NDI1","ERV14",114,"60.2",25730
"NDI1","NTA1",114,"13.5",27376
"NDI1","MSH2",114,"13.7",29313
"NDI1","ATS1",114,"1.23",26632
"NDI1","MSH4",114,105,24888
"NDI1","UMP1",114,"3.28",25605
"NDI1","RMD9",114,"13.2",28184
"NDI1","ALG5",114,"7.13",31778
"NDI1","STU2",114,"15.7",25817
"NDI1","SUT1",114,255,26144
"NDI1","HRK1",114,"79.5",27687
"NDI1","HBS1",114,"31.8",24541
"NDI1","GPI17",114,"26.0",28562
"NDI1","IDI1",114,187,24589
"NDI1","MST1",114,"11.4",26867
"NDI1","RAM2",114,"14.6",29401
"NDI1","STE14",114,754,33305
"NDI1","TPK2",114,"61.4",28728
"NDI1","YHR078W",114,109,28112
"NDI1","TAF2",114,"8.01",37427
"NDI1","DBP5",114,156,26277
"NEJ1","SWI6","2.55","33.6",21230
"NEJ1","SAM50","2.55","13.5",22084
"NEJ1","ECM4","2.55","21.9",20735
"NFI1","DBP3",338,137,21608
"NFI1","LSM1",338,1066,20704
"NFI1","ECM4",338,"21.9",20180
"NGL2","RPB5","18.3",173,21914
"NGR1","PUB1","24.2",319,26458
"NHP10","NHP10","36.5","36.5",40635
"NHP6A","HHO1",384,256,76220
"NHP6A","HTZ1",384,286,134179
"NHP6A","RPA49",384,118,35092
"NHP6A","RPB5",384,173,46711
"NHP6A","MBF1",384,1007,20032
"NIP7","NSA2",125,106,27848
"NIS1","TAF2","3.36","8.01",24461
"NIS1","SAM50","3.36","13.5",20983
"NKP2","IMD4",947,487,91174
"NKP2","IMD3",947,671,92197
"NKP2","GAP1",947,"11.9",20348
"NKP2","PHO84",947,149,37091
"NKP2","AGP1",947,"10.6",49338
"NKP2","OST1",947,"52.8",37925
"NKP2","CAN1",947,"4.97",24240
"NKP2","SPF1",947,108,38790
"NMA1","NMA1","61.1","61.1",30309
"NNF1","PDE2","9.48","10.7",31052
"NOC2","FPR4","86.6",248,37472
"NOC2","BRX1","86.6",117,52205
"NOC2","LOC1","86.6",171,45996
"NOC2","NOC2","86.6","86.6",20035
"NOC2","PWP1","86.6",103,57623
"NOC2","DBP2","86.6",271,30323
"NOC2","HHO1","86.6",256,39884
"NOC2","UBP10","86.6","19.8",46093
"NOC2","MBF1","86.6",1007,21284
"NOG2","TIF6","89.0",136,30953
"NOG2","SAM50","89.0","13.5",20746
"NOP15","CIC1","63.1",123,29542
"NOP16","BRX1","87.0",117,29659
"NOP6","BRX1",119,117,22072
"NOP6","BUD21",119,"55.3",20796
"NOP6","CDC40",119,"5.16",20417
"NOP6","PGM2",119,289,21042
"NOP6","UBC13",119,"86.0",22852
"NOP6","IDI1",119,187,28897
"NOP6","DBP2",119,271,27836
"NOP6","GAT2",119,65,24637
"NOP6","NHP2",119,337,32616
"NOP6","RPB5",119,173,26215
"NOP6","UBP10",119,"19.8",28161
"NOP6","LSM1",119,1066,29411
"NOP6","MGM1",119,"22.5",27393
"NOP7","NOC2",144,"86.6",23157
"NOP7","CIC1",144,123,46587
"NOP7","PWP1",144,103,29481
"NOT5","MOT2","48.5","62.0",68403
"NOT5","CDC39","48.5","25.2",119478
"NOT5","CAF40","48.5","17.6",64018
"NOT5","LSM3","48.5",457,87815
"NOT5","NOT3","48.5","60.2",60384
"NPA3","RPB2","83.8","94.3",30047
"NPA3","SAM50","83.8","13.5",23105
"NRD1","ECM4","47.0","21.9",24878
"NRP1","MGM1","11.3","22.5",20612
"NSA2","CGR1",106,"73.3",104611
"NSG1","HMG1","44.7","32.4",20991
"NSG1","HMG2","44.7","14.2",28266
"NSG1","GAP1","44.7","11.9",54676
"NSG1","CHO1","44.7","37.3",28575
"NSG1","AGP1","44.7","10.6",60153
"NSG1","CAN1","44.7","4.97",30073
"NSG1","SPF1","44.7",108,35052
"NST1","MOT2","10.7","62.0",43064
"NST1","CDC39","10.7","25.2",33484
"NST1","CAF40","10.7","17.6",40446
"NST1","NOT3","10.7","60.2",28316
"NST1","POP2","10.7","13.9",25346
"NTH1","ECM16","39.5","28.9",21537
"NTH1","GYL1","39.5","16.1",21029
"NTH1","CPR8","39.5","2.67",20737
"NTH1","RPB4","39.5","69.0",21720
"NUG1","CGR1",191,"73.3",81730
"NUM1","PDR12","92.5","14.2",29358
"NUM1","RAX2","92.5","5.66",39184
"NUP1","KAP95","86.7",164,38799
"NUP100","NIC96",130,147,22970
"NUP100","NUP116",130,209,67234
"NUP100","NUP157",130,"56.2",36205
"NUP100","KAP95",130,164,23590
"NUP100","NUP82",130,107,56085
"NUP100","ERG11",130,133,21686
"NUP100","DBP5",130,156,20115
"NUP100","RTN1",130,542,57426
"NUP100","YOP1",130,186,38833
"NUP120","NUP82","61.6",107,50650
"NUP120","NUP85","61.6","63.5",31111
"NUP133","RTN1","73.1",542,64802
"NUP133","YOP1","73.1",186,43734
"NUP145","NUP85",132,"63.5",33099
"NUP145","RTN1",132,542,26223
"NUP159","NUP116","83.3",209,70938
"NUP159","NUP157","83.3","56.2",29443
"NUP159","NUP82","83.3",107,46360
"NUP159","DBP5","83.3",156,43519
"NUP188","DBP5","51.1",156,24742
"NUP188","RTN1","51.1",542,20444
"NUP2","NIC96",178,147,33652
"NUP2","NSP1",178,479,41705
"NUP2","NUP192",178,"57.9",29965
"NUP2","NUP49",178,124,57277
"NUP2","KAP95",178,164,23132
"NUP2","NUP57",178,198,79270
"NUP2","ECM4",178,"21.9",26205
"NUP2","DBP5",178,156,22034
"NUP42","RIM1","94.9",351,20110
"NUP42","ECM4","94.9","21.9",23841
"NUP42","DBP5","94.9",156,32755
"NUP49","NIC96",124,147,32212
"NUP49","NSP1",124,479,40585
"NUP49","NUP49",124,124,39975
"NUP49","KAP95",124,164,31638
"NUP49","NUP57",124,198,69040
"NUP53","PEX29",172,"19.4",20835
"NUP53","RIM1",172,351,22209
"NUP53","CPR8",172,"2.67",20924
"NUP53","ECM4",172,"21.9",21752
"NUP57","NSP1",198,479,25879
"NUP57","NUP49",198,124,78011
"NUP57","NUP57",198,198,48584
"NUP57","RIM1",198,351,20541
"NUP57","RPB5",198,173,20199
"NUP57","ECM4",198,"21.9",22553
"NUP60","KAP95",109,164,35321
"NUP82","NSP1",107,479,24753
"NUP82","NUP116",107,209,40401
"NUP82","NUP120",107,"61.6",23710
"NUP82","NUP82",107,107,61366
"NUP82","ECM4",107,"21.9",22325
"NUP82","DBP5",107,156,42659
"NUP82","RTN1",107,542,49437
"NUP84","RTN1",110,542,45174
"NUP84","YOP1",110,186,23779
"NUP85","NUP120","63.5","61.6",20226
"NUP85","NUP145","63.5",132,47186
"NUP85","NUP82","63.5",107,26592
"NUP85","HUG1","63.5","1.82",21579
"NUP85","HSP12","63.5",1942,23993
"NUP85","MBF1","63.5",1007,24404
"NUP85","RTN1","63.5",542,24732
"NUP85","YET1","63.5","76.4",22115
"NUT1","ECM4","15.4","21.9",21481
"NUT2","SUT1","28.9",255,20622
"NUT2","IDI1","28.9",187,29176
"NUT2","NAB3","28.9","47.8",26562
"NUT2","YHR078W","28.9",109,24682
"NUT2","LSM1","28.9",1066,30285
"NUT2","MGM1","28.9","22.5",29010
"OAR1","ECM4","3.1","21.9",23511
"OKP1","VID24","2.03","27.7",20288
"OLE1","ILM1",122,"33.0",24047
"OLE1","MID2",122,"7.82",31861
"OLE1","PHO86",122,"50.0",22512
"OLE1","PHO88",122,404,36990
"OLE1","OLE1",122,122,106006
"OLE1","VAC8",122,"76.0",21960
"OLE1","PST2",122,549,23646
"OLE1","SRP14",122,"90.1",22947
"OLE1","PPZ1",122,"47.0",39639
"OLE1","TPO4",122,"14.4",39020
"OLE1","ERG11",122,133,68751
"OLE1","RFS1",122,125,20571
"OLE1","GDI1",122,172,21057
"OLE1","ERV25",122,"88.8",32501
"OLE1","SEC21",122,133,21981
"OLE1","ARO8",122,343,22253
"OLE1","HSP12",122,1942,22496
"OLE1","CYS4",122,734,25490
"OLE1","RNR2",122,352,20442
"OLE1","GAP1",122,"11.9",28180
"OLE1","VRG4",122,"11.8",29107
"OLE1","GSF2",122,115,30880
"OLE1","YDR476C",122,"28.7",43463
"OLE1","PHO84",122,149,50933
"OLE1","SEC63",122,100,27858
"OLE1","RTN1",122,542,85048
"OLE1","YET1",122,"76.4",43411
"OLE1","CHO1",122,"37.3",32777
"OLE1","ELO1",122,"5.1",23729
"OLE1","AGP1",122,"10.6",59811
"OLE1","CRP1",122,278,20106
"OLE1","OST1",122,"52.8",57240
"OLE1","SAC1",122,137,47875
"OLE1","SPF1",122,108,52729
"OLE1","PGA3",122,"96.2",33123
"OLE1","UBP1",122,"44.6",40178
"OPI1","RPB4","23.5","69.0",22243
"OPI1","ECM4","23.5","21.9",22028
"OPY1","ECM4","29.7","21.9",21366
"OPY1","DBP5","29.7",156,20139
"OPY2","SAM50","9.56","13.5",22121
"ORC1","VPS15","3.99",974,20705
"ORC2","HIS2","4.24","13.6",20136
"ORC2","TAF2","4.24","8.01",21488
"ORC2","SAM50","4.24","13.5",22759
"ORC4","TAF2","4.21","8.01",20846
"ORC4","MGM1","4.21","22.5",22906
"ORC6","SSS1","5.58",184,22487
"ORC6","MSH2","5.58","13.7",20414
"ORC6","TAF2","5.58","8.01",20660
"ORC6","SAM50","5.58","13.5",25118
"ORC6","DBP5","5.58",156,22410
"ORM2","YHR045W","28.2","8.99",22791
"ORM2","SOP4","28.2","31.3",45037
"ORM2","DFG5","28.2","18.1",43601
"ORM2","GTT1","28.2",112,31105
"ORM2","LAS21","28.2","1.73",26793
"ORM2","PHO88","28.2",404,49441
"ORM2","MSC7","28.2","63.9",44194
"ORM2","SEC61","28.2","72.4",23147
"ORM2","SSH1","28.2","100.0",45666
"ORM2","ORM2","28.2","28.2",69491
"ORM2","PPZ1","28.2","47.0",29690
"ORM2","ERG11","28.2",133,24699
"ORM2","ERG3","28.2","83.2",30596
"ORM2","ARF1","28.2",797,29511
"ORM2","RER2","28.2","9.4",27838
"ORM2","SHR3","28.2","35.7",23048
"ORM2","ERP1","28.2",122,61592
"ORM2","SPC2","28.2","36.4",37929
"ORM2","ERP4","28.2","37.9",46475
"ORM2","ERP5","28.2","2.81",23658
"ORM2","ERP6","28.2","2.41",25258
"ORM2","ERV25","28.2","88.8",96030
"ORM2","YHR078W","28.2",109,22803
"ORM2","DBP5","28.2",156,25088
"ORM2","GAP1","28.2","11.9",109622
"ORM2","GSF2","28.2",115,50178
"ORM2","ICE2","28.2","4.34",34287
"ORM2","PHS1","28.2","4.96",60204
"ORM2","NSG2","28.2","16.0",23756
"ORM2","YDR524C-B","28.2",659,53896
"ORM2","SEC63","28.2",100,35843
"ORM2","IST2","28.2",136,47825
"ORM2","RTN1","28.2",542,59560
"ORM2","ORM1","28.2","23.4",53396
"ORM2","YET1","28.2","76.4",22936
"ORM2","CHO1","28.2","37.3",157091
"ORM2","YLR050C","28.2","6.0",30092
"ORM2","ELO1","28.2","5.1",64076
"ORM2","ERG1","28.2","90.2",28864
"ORM2","GWT1","28.2","1.37",27913
"ORM2","AGP1","28.2","10.6",154388
"ORM2","CRP1","28.2",278,43271
"ORM2","OST1","28.2","52.8",115326
"ORM2","SAC1","28.2",137,83935
"ORM2","CAN1","28.2","4.97",26668
"ORM2","SPF1","28.2",108,120808
"ORM2","ERP2","28.2",155,43008
"ORM2","ERP3","28.2","8.66",24241
"ORM2","YOP1","28.2",186,23719
"ORM2","UBP1","28.2","44.6",28749
"OSH2","UME1","30.0","32.3",24745
"OSH2","PEX29","30.0","19.4",20861
"OSH2","MSH2","30.0","13.7",20903
"OSH2","RPN3","30.0","75.8",21664
"OSH2","ARF3","30.0","35.9",23511
"OSH2","OSH6","30.0","36.6",20740
"OSH2","MYO5","30.0","45.1",25886
"OSH2","YHR078W","30.0",109,21640
"OSH2","AGP1","30.0","10.6",64237
"OSH2","OST1","30.0","52.8",49159
"OSH2","SAC1","30.0",137,51271
"OSH7","WSC2","60.2","1.68",26572
"OSH7","HNM1","60.2","19.7",42052
"OSH7","MEP3","60.2","1.34",21847
"OSH7","MID2","60.2","7.82",52680
"OSH7","MUP1","60.2","16.2",37038
"OSH7","PDR12","60.2","14.2",46600
"OSH7","PST2","60.2",549,32515
"OSH7","HSP30","60.2","64.3",29381
"OSH7","TPO4","60.2","14.4",44867
"OSH7","TCB3","60.2","87.3",34947
"OSH7","ERG11","60.2",133,20708
"OSH7","GPA2","60.2","23.4",26898
"OSH7","YOR1","60.2","8.37",25924
"OSH7","OSH6","60.2","36.6",67716
"OSH7","FLC1","60.2","6.34",25314
"OSH7","HSP12","60.2",1942,21445
"OSH7","HXT7","60.2",124,43113
"OSH7","PHO84","60.2",149,28096
"OSH7","IST2","60.2",136,70538
"OSH7","RTN1","60.2",542,38594
"OSH7","AGP1","60.2","10.6",67027
"OSH7","OST1","60.2","52.8",29193
"OSH7","SAC1","60.2",137,84655
"OSH7","SPF1","60.2",108,29336
"OSH7","YOP1","60.2",186,23066
"OST6","PEX29","8.3","19.4",21019
"OST6","ECM4","8.3","21.9",29427
"OST6","DBP5","8.3",156,22113
"OST6","CHO1","8.3","37.3",20098
"OST6","AGP1","8.3","10.6",28598
"OST6","OST1","8.3","52.8",40967
"OST6","SAC1","8.3",137,31623
"OST6","SPF1","8.3",108,23621
"OTU1","RIM1","25.3",351,22017
"OTU1","RGT1","25.3","2.9",21129
"OTU1","ECM4","25.3","21.9",25535
